id,town,rd_imp,latitude,longitude,Soil_Drainage_Class,Soil_Moisture,Soil_pH,Soil_Elec_Conductivity,Soil_Surface_Texture,Flooding_Frequency,Corrosion of concrete,Corrosion of steel,year_built,owner,inv_dt,cul_type,cul_matl,hdr_matl,height,width,length,oa_cond,alignment
0621cb55-7d0b-4c32-9a67-37031581b1a9,BALTIMORE,2,43.35126374,-72.56123613,,,,,,,,,1984,Town Highway,6/17/2014,Round,Steel Corrugated,Stone masonry,24,24,50,Good,No
7ef480cc-0060-48a6-9929-370c9f4d8da3,LUDLOW,1,43.36925706,-72.70415844,,,,,,,,,2016,Town Highway,6/6/2017,Round,Plastic Smooth,Stone masonry,18,18,40,Good,No
63881b83-4708-47c2-ac06-37635b883f74,WILMINGTON,3,42.89511641,-72.8834284,,,,,,,,,2018,Town Highway,8/30/2018,Round,Plastic Smooth,Concrete,18,18,45,Excellent,No
0ddbc917-21d5-429f-b634-37bfcfbcd1c1,SOUTH BURLINGTON,3,44.45317628,-73.17667276,,,,,,,,,2007,Town Highway,7/30/2013,Round,Plastic Corrugated,Rip-rap,18,18,100,Good,No
ba297247-5979-4676-9bb0-37d512c74d41,WAITSFIELD,3,44.22796729,-72.79045409,,,,,,,,,1990,Town Highway,9/21/2020,Ellipse/Squashed,Steel Corrugated,Stone masonry,13,20,40,Poor,Yes
7439a4b5-afb6-4d5e-9769-38756db80757,READING,1,43.50107502,-72.5873555,,,,,,,,,2013,Town Highway,7/6/2016,Round,Plastic Corrugated,Stone masonry,18,18,30,Good,No
58dd4e6a-e772-402e-925b-387dad855af1,GROTON,1,44.20758206,-72.20236411,,,,,,,,,2018,Town Highway,7/23/2018,Round,Plastic Smooth,Rip-rap,18,18,20,Excellent,No
b3d6ab7f-cf8c-49b6-bd4b-38b8fd55f86c,SPRINGFIELD,2,43.32215988,-72.53501103,,,,,,,,,2001,Town Highway,8/5/2016,Round,Plastic Smooth,Stone masonry,18,18,40,Good,No
c538fae4-c9ec-45de-b6cc-3901d0876b59,WAITSFIELD,1,44.21405273,-72.80456336,,,,,,,,,1990,Town Highway,9/21/2020,Round,Steel Corrugated,Stone masonry,15,15,40,Poor,No
6f0b4372-0279-462d-abac-3905667a7ade,PUTNEY,1,42.96622425,-72.52705346,,,,,,,,,2005,Town Highway,4/17/2015,Round,Plastic Smooth,Stone masonry,48,48,70,Excellent,No
dc6c6889-7d61-435e-8068-39115ee51116,WINDSOR,1,43.45784514,-72.41209752,,,,,,,,,2010,Town Highway,10/11/2016,Round,Steel Corrugated,Stone masonry,15,15,32,Good,No
204bbf52-02e0-41d6-9064-39421973168f,STRATTON,3,43.06127556,-72.97420776,,,,,,,,,2005,Town Highway,11/10/2017,Round,Plastic Smooth,Stone masonry,18,18,34,Excellent,No
70681fe6-9bff-44a1-9c88-3947dd51c526,TINMOUTH,1,43.42946041,-73.0284765,,,,,,,,,2000,Town Highway,5/25/2020,Round,Plastic Smooth,Stone masonry,24,24,20,Excellent,No
d7568122-7028-447a-a1ec-3965511a91c5,LEICESTER,2,43.85213738,-73.08819118,,,,,,,,,2007,Town Highway,10/18/2018,Round,Plastic Corrugated,Stone masonry,15,15,33,Excellent,No
ea279cf6-fb4c-4321-b75c-3966bb944a30,TINMOUTH,1,43.49031452,-73.03687504,,,,,,,,,1974,Town Highway,6/12/2020,Round,Steel Corrugated,Stone masonry,15,15,30,Good,No
95417192-1f2c-4686-8926-399ea8083722,WARREN,1,44.11069285,-72.85314392,,,,,,,,,2011,Town Highway,6/29/2018,Round,Steel Corrugated,Stone masonry,18,18,42,Poor,No
ddae5e9f-5a01-46b5-ab2d-39cf49c3652a,BRATTLEBORO,2,42.83675387,-72.58484263,,,,,,,,,2013,Town Highway,7/2/2013,Round,Plastic Smooth,Concrete,18,18,40,Good,No
4395ce0e-a71d-45b2-b0d1-3a9de7292b00,READING,1,43.52184867,-72.55115285,,,,,,,,,2013,Town Highway,7/6/2016,Round,Plastic Corrugated,Stone masonry,15,15,30,Excellent,No
